time,value,Date
10:21:28,113,10.05.19
10:21:33,113,10.05.19
10:21:48,113,10.05.19
10:21:53,113,10.05.19
10:22:01,113,10.05.19
10:22:16,113,10.05.19
10:22:31,113,10.05.19
10:22:46,113,10.05.19
10:23:01,113,10.05.19
10:23:16,113,10.05.19
10:23:31,113,10.05.19
10:23:46,113,10.05.19
10:24:01,113,10.05.19
10:24:16,113,10.05.19
10:24:31,113,10.05.19
10:24:46,113,10.05.19
10:25:01,113,10.05.19
10:25:16,113,10.05.19
10:25:31,113,10.05.19
10:25:46,113,10.05.19
10:26:01,113,10.05.19
10:26:16,113,10.05.19
10:26:31,113,10.05.19
10:26:46,113,10.05.19
10:27:01,113,10.05.19
10:27:16,113,10.05.19
10:27:31,113,10.05.19
10:27:46,113,10.05.19
10:28:01,113,10.05.19
10:28:16,113,10.05.19
10:28:31,113,10.05.19
10:28:34,113,10.05.19
10:28:49,113,10.05.19
10:29:04,113,10.05.19
10:29:19,113,10.05.19
10:29:34,113,10.05.19
10:29:49,113,10.05.19
10:30:04,113,10.05.19
10:30:19,113,10.05.19
10:30:34,113,10.05.19
10:30:49,113,10.05.19
10:31:04,113,10.05.19
10:31:19,113,10.05.19
10:31:34,113,10.05.19
10:31:49,113,10.05.19
10:32:04,113,10.05.19
10:32:19,113,10.05.19
10:32:34,113,10.05.19
10:32:49,113,10.05.19
10:33:04,113,10.05.19
10:33:19,113,10.05.19
10:33:34,113,10.05.19
10:33:49,113,10.05.19
10:34:04,113,10.05.19
10:34:19,113,10.05.19
10:34:34,113,10.05.19
10:34:49,113,10.05.19
10:35:04,113,10.05.19
10:35:08,113,10.05.19
10:35:18,113,10.05.19
10:35:23,114,10.05.19
10:35:33,113,10.05.19
10:35:48,113,10.05.19
10:35:58,112,10.05.19
10:36:08,112,10.05.19
10:36:23,112,10.05.19
10:36:38,112,10.05.19
10:36:53,112,10.05.19
10:36:58,112,10.05.19
10:37:13,112,10.05.19
10:37:28,112,10.05.19
10:37:43,112,10.05.19
10:37:58,112,10.05.19
10:38:13,112,10.05.19
10:38:28,112,10.05.19
10:38:43,112,10.05.19
10:38:58,112,10.05.19
10:39:13,112,10.05.19
10:39:28,112,10.05.19
10:39:43,112,10.05.19
10:39:58,112,10.05.19
10:40:13,112,10.05.19
10:40:28,112,10.05.19
10:40:43,112,10.05.19
10:40:53,111,10.05.19
10:41:00,111,10.05.19
10:41:05,111,10.05.19
10:41:20,111,10.05.19
10:41:35,111,10.05.19
10:41:40,111,10.05.19
10:41:55,112,10.05.19
10:42:10,112,10.05.19
10:42:25,112,10.05.19
10:42:40,112,10.05.19
10:42:55,112,10.05.19
10:43:10,112,10.05.19
10:43:25,112,10.05.19
10:43:40,112,10.05.19
10:43:55,112,10.05.19
10:44:10,112,10.05.19
10:44:25,112,10.05.19
10:44:35,112,10.05.19
10:44:40,112,10.05.19
10:44:45,110,10.05.19
10:45:00,110,10.05.19
10:45:10,110,10.05.19
10:45:15,110,10.05.19
10:45:20,110,10.05.19
10:45:35,110,10.05.19
10:45:50,110,10.05.19
10:46:05,110,10.05.19
10:46:20,110,10.05.19
10:46:23,110,10.05.19
10:46:38,110,10.05.19
10:46:53,110,10.05.19
10:47:08,110,10.05.19
10:47:23,110,10.05.19
10:47:38,110,10.05.19
10:47:53,110,10.05.19
10:48:08,110,10.05.19
10:48:23,110,10.05.19
10:48:38,110,10.05.19
10:48:53,110,10.05.19
10:49:08,110,10.05.19
10:49:23,110,10.05.19
10:49:38,110,10.05.19
10:49:53,110,10.05.19
10:50:08,110,10.05.19
10:50:23,110,10.05.19
10:50:33,110,10.05.19
10:50:48,110,10.05.19
10:51:03,110,10.05.19
10:51:18,110,10.05.19
10:51:28,110,10.05.19
10:51:43,110,10.05.19
10:51:58,110,10.05.19
10:52:13,110,10.05.19
10:52:28,110,10.05.19
10:52:43,110,10.05.19
10:52:47,110,10.05.19
10:53:02,110,10.05.19
10:53:17,110,10.05.19
10:53:32,110,10.05.19
10:53:47,110,10.05.19
10:54:02,110,10.05.19
10:54:17,110,10.05.19
10:54:32,110,10.05.19
10:54:47,110,10.05.19
10:55:02,110,10.05.19
10:55:17,110,10.05.19
10:55:32,110,10.05.19
10:55:47,110,10.05.19
10:56:02,110,10.05.19
10:56:17,110,10.05.19
10:56:32,110,10.05.19
10:56:47,110,10.05.19
10:57:02,110,10.05.19
10:57:17,110,10.05.19
10:57:32,110,10.05.19
10:57:47,110,10.05.19
10:58:02,110,10.05.19
10:58:17,110,10.05.19
10:58:32,110,10.05.19
10:58:47,110,10.05.19
10:59:02,110,10.05.19
10:59:17,110,10.05.19
10:59:21,110,10.05.19
10:59:36,110,10.05.19
10:59:51,110,10.05.19
11:00:06,110,10.05.19
11:00:21,110,10.05.19
11:00:36,110,10.05.19
11:00:51,110,10.05.19
11:01:06,110,10.05.19
11:01:21,110,10.05.19
11:01:36,110,10.05.19
11:01:51,110,10.05.19
11:02:06,110,10.05.19
11:02:21,110,10.05.19
11:02:36,110,10.05.19
11:02:51,110,10.05.19
11:03:06,110,10.05.19
11:03:16,110,10.05.19
11:03:31,110,10.05.19
11:03:46,110,10.05.19
11:03:56,110,10.05.19
11:04:11,110,10.05.19
11:04:26,110,10.05.19
11:04:41,110,10.05.19
11:04:56,110,10.05.19
11:05:11,110,10.05.19
11:05:26,110,10.05.19
11:05:41,110,10.05.19
11:05:44,110,10.05.19
11:05:59,110,10.05.19
11:06:14,110,10.05.19
11:06:29,110,10.05.19
11:06:44,110,10.05.19
11:06:59,110,10.05.19
