"time","value","Date"
"15:21:54","64","2019-06-03"
"15:22:04","62","2019-06-03"
"15:22:09","60","2019-06-03"
"15:22:19","59","2019-06-03"
"15:22:29","58","2019-06-03"
"15:22:39","58","2019-06-03"
"15:22:44","57","2019-06-03"
"15:22:49","59","2019-06-03"
"15:23:04","59","2019-06-03"
"15:23:14","60","2019-06-03"
"15:23:29","61","2019-06-03"
"15:23:34","62","2019-06-03"
"15:23:49","63","2019-06-03"
"15:24:04","63","2019-06-03"
"15:24:19","63","2019-06-03"
"15:24:34","63","2019-06-03"
"15:24:49","63","2019-06-03"
"15:24:54","64","2019-06-03"
"15:25:09","66","2019-06-03"
"15:25:24","66","2019-06-03"
"15:25:39","67","2019-06-03"
"15:25:54","67","2019-06-03"
"15:25:59","68","2019-06-03"
"15:26:09","69","2019-06-03"
"15:26:19","71","2019-06-03"
"15:26:29","70","2019-06-03"
"15:26:34","68","2019-06-03"
"15:26:41","70","2019-06-03"
"15:26:56","70","2019-06-03"
"15:27:06","72","2019-06-03"
"15:27:21","71","2019-06-03"
"15:27:36","71","2019-06-03"
"15:27:46","72","2019-06-03"
"15:28:01","73","2019-06-03"
"15:28:16","73","2019-06-03"
"15:28:31","74","2019-06-03"
"15:28:41","75","2019-06-03"
"15:28:46","74","2019-06-03"
"15:29:01","74","2019-06-03"
"15:29:06","76","2019-06-03"
"15:29:16","77","2019-06-03"
"15:29:21","77","2019-06-03"
"15:29:26","78","2019-06-03"
"15:29:41","78","2019-06-03"
"15:29:46","77","2019-06-03"
"15:29:51","77","2019-06-03"
"15:30:06","77","2019-06-03"
"15:30:21","77","2019-06-03"
"15:30:26","77","2019-06-03"
"15:30:31","79","2019-06-03"
"15:30:36","78","2019-06-03"
"15:30:51","77","2019-06-03"
"15:30:56","75","2019-06-03"
"15:31:01","76","2019-06-03"
"15:31:08","76","2019-06-03"
"15:31:23","76","2019-06-03"
"15:31:33","77","2019-06-03"
"15:31:43","78","2019-06-03"
"15:31:53","79","2019-06-03"
"15:32:03","79","2019-06-03"
"15:32:18","79","2019-06-03"
"15:32:23","78","2019-06-03"
"15:32:38","78","2019-06-03"
"15:32:53","78","2019-06-03"
"15:33:08","76","2019-06-03"
"15:33:13","75","2019-06-03"
"15:33:30","75","2019-06-03"
"15:33:35","74","2019-06-03"
"15:33:40","72","2019-06-03"
"15:33:45","72","2019-06-03"
"15:34:00","73","2019-06-03"
"15:34:15","73","2019-06-03"
"15:34:30","73","2019-06-03"
"15:34:45","73","2019-06-03"
"15:34:55","74","2019-06-03"
"15:35:00","75","2019-06-03"
"15:35:05","77","2019-06-03"
"15:35:10","80","2019-06-03"
"15:35:20","81","2019-06-03"
"15:35:25","82","2019-06-03"
"15:35:30","84","2019-06-03"
"15:35:35","87","2019-06-03"
"15:35:40","91","2019-06-03"
"15:35:45","93","2019-06-03"
"15:35:50","96","2019-06-03"
"15:35:55","99","2019-06-03"
"15:36:00","101","2019-06-03"
"15:36:05","100","2019-06-03"
"15:36:15","101","2019-06-03"
"15:36:30","98","2019-06-03"
"15:36:35","92","2019-06-03"
"15:36:40","89","2019-06-03"
"15:36:45","91","2019-06-03"
"15:36:52","93","2019-06-03"
"15:36:57","95","2019-06-03"
"15:39:21","70","2019-06-03"
"15:39:31","71","2019-06-03"
"15:39:36","75","2019-06-03"
"15:39:46","69","2019-06-03"
"15:39:56","67","2019-06-03"
"15:40:07","71","2019-06-03"
"15:40:21","71","2019-06-03"
"15:40:37","71","2019-06-03"
"15:40:43","71","2019-06-03"
"15:41:05","70","2019-06-03"
"15:41:15","71","2019-06-03"
"15:43:43","70","2019-06-03"
"15:44:17","70","2019-06-03"
"15:44:27","72","2019-06-03"
"15:45:31","70","2019-06-03"
"15:49:16","70","2019-06-03"
"15:49:28","67","2019-06-03"
"15:49:38","67","2019-06-03"
"15:49:48","67","2019-06-03"
"15:50:04","70","2019-06-03"
"15:50:40","70","2019-06-03"
"15:50:55","70","2019-06-03"
"15:51:00","70","2019-06-03"
"15:51:25","70","2019-06-03"
"15:51:38","70","2019-06-03"
"15:51:43","78","2019-06-03"
"15:51:55","78","2019-06-03"
"15:52:05","100","2019-06-03"
"15:52:10","108","2019-06-03"
"15:54:44","70","2019-06-03"
"15:57:19","70","2019-06-03"
"15:57:46","70","2019-06-03"
"15:59:14","70","2019-06-03"
"15:59:32","66","2019-06-03"
"15:59:54","70","2019-06-03"
"16:00:10","70","2019-06-03"
"16:00:28","70","2019-06-03"
"16:00:43","70","2019-06-03"
"16:00:48","79","2019-06-03"
"16:00:53","89","2019-06-03"
"16:02:08","70","2019-06-03"
"16:02:26","70","2019-06-03"
"16:02:39","70","2019-06-03"
"16:02:49","71","2019-06-03"
"16:02:59","76","2019-06-03"
"16:03:04","90","2019-06-03"
"16:03:09","93","2019-06-03"
"16:03:14","101","2019-06-03"
"16:03:19","106","2019-06-03"
"16:03:24","107","2019-06-03"
"16:03:34","108","2019-06-03"
"16:03:49","110","2019-06-03"
"16:03:54","113","2019-06-03"
"16:03:59","116","2019-06-03"
"16:04:04","121","2019-06-03"
"16:04:09","125","2019-06-03"
"16:04:14","131","2019-06-03"
"16:04:19","136","2019-06-03"
"16:04:24","142","2019-06-03"
"16:04:29","140","2019-06-03"
"16:04:34","139","2019-06-03"
"16:04:39","136","2019-06-03"
"16:04:44","133","2019-06-03"
"16:04:49","136","2019-06-03"
"16:04:54","143","2019-06-03"
"16:04:59","148","2019-06-03"
"16:05:04","147","2019-06-03"
"16:05:10","144","2019-06-03"
"16:05:15","138","2019-06-03"
"16:05:20","134","2019-06-03"
"16:05:25","135","2019-06-03"
"16:05:30","138","2019-06-03"
"16:05:35","139","2019-06-03"
"16:05:40","140","2019-06-03"
"16:05:45","139","2019-06-03"
"16:05:50","138","2019-06-03"
"16:05:55","139","2019-06-03"
"16:06:05","140","2019-06-03"
"16:06:10","137","2019-06-03"
"16:06:15","136","2019-06-03"
"16:06:20","134","2019-06-03"
"16:06:25","133","2019-06-03"
"16:06:30","138","2019-06-03"
"16:06:40","139","2019-06-03"
"16:06:45","136","2019-06-03"
"16:07:19","70","2019-06-03"
"16:07:29","87","2019-06-03"
"16:07:34","101","2019-06-03"
"16:07:44","102","2019-06-03"
"16:07:49","103","2019-06-03"
"16:07:54","104","2019-06-03"
"16:08:04","97","2019-06-03"
"16:08:09","101","2019-06-03"
"16:08:14","106","2019-06-03"
"16:08:19","108","2019-06-03"
"16:08:24","107","2019-06-03"
"16:08:29","113","2019-06-03"
"16:08:34","119","2019-06-03"
"16:08:39","125","2019-06-03"
"16:08:44","130","2019-06-03"
"16:08:49","135","2019-06-03"
"16:08:54","137","2019-06-03"
"16:08:59","142","2019-06-03"
"16:09:04","140","2019-06-03"
"16:09:09","143","2019-06-03"
"16:09:14","148","2019-06-03"
"16:09:19","146","2019-06-03"
"16:09:24","145","2019-06-03"
"16:09:29","142","2019-06-03"
"16:09:35","141","2019-06-03"
"16:09:45","139","2019-06-03"
"16:10:20","70","2019-06-03"
